股票简称	申购简称	转债简称
盈峰环境	上风高科	盈峰转债
初灵信息	初灵信息	None
创意信息	创意信息	None
雅本化学	雅本化学	None
康跃科技	康跃科技	None
任子行	任子行	None
安泰科技	安泰科技	None
ST高升	湖北迈亚	None
锡业股份	锡业股份	None
佳创视讯	佳创视讯	None
*ST中基	新中基	None
中际旭创	中际装备	None
桂林旅游	桂林配售	None
南华仪器	南华仪器	None
汇金股份	汇金股份	None
天利科技	京天利	None
利德曼	利德曼	None
华灿光电	华灿光电	None
九强生物	九强生物	None
东土科技	东土科技	None
中建环能	环能科技	None
德尔股份	德尔股份	德尔转债
道氏技术	道氏技术	None
掌趣科技	掌趣科技	None
博雅生物	博雅生物	None
清水源	清水源	None
飞利信	飞利信	None
ST开元	开元仪器	None
金盾股份	金盾股份	None
佛塑科技	佛塑股份	None
扬杰科技	扬杰科技	None
凯利泰	凯利泰	None
创业慧康	创业软件	None
金卡智能	金卡股份	None
博腾股份	博腾股份	None
芒果超媒	快乐购	None
鹏辉能源	鹏辉能源	鹏辉转债
远方信息	远方光电	None
鲍斯股份	鲍斯股份	None
东方通	东方通	None
溢多利	溢多利	溢利转债
山河药辅	山河药辅	None
华鹏飞	华鹏飞	None
越秀金控	广州友谊	None
浩丰科技	浩丰科技	None
电投产融	东方热电	None
唐德影视	唐德影视	None
